# SCV canonical PEOPLE — sourced from https://scvhistory.wpengine.com/people/
# Add new names below. Lines starting with # are comments. Blank lines ignored.
# Format: "Last, First" or "Last, First [Suffix]" (SCV convention).
# Some entries are not individual people (e.g., "Artists (Fine Arts)",
# "Sheriffs of L.A. County") — treated as PERSON for now; retag later.

Lubas, Ken
Lummis, Charles F.
Lux, John
Lyles, A.C.
Lynch, Kevin
Lyon Family
Lyon, Sanford
MacDonald, Kevin
MacDougall, C.M.
MacGregor, Joan
Mack, Charles
Macpherson, Adele
Maga, Frank
Magowan, Russ
Maloney, Ellen Mary
Malvern, Paul
Mann, John
Manriquez, Lyda
Manzer, Darryl
March, David
Marincola, Tony & Genevieve
Marlewski, Jim
Marroquin, Carlos
Martin, Cathy and Steve
Mason, Tom
Mast, Gary
Masterson, Ed
Mather, Stephen T.
Matter, Kyle
Mayhue Family of Newhall
Maynard, Ken
McAlister, Jim
McBean, Atholl
McBean, Peter
McCarthy, Karl
McCormick, Matthew
McCrea, Joel
McDonnell, Jim
McGrath, J. Michael
McGrath, Jack
McKeon, Howard P.
McKibben, Irene Ruiz
McKinley, Michele Ybarra
McKinney, Clint
McLaughlin, John
McLean, Marsha
McPherson, Robert C.
Mehterian Family
Melrose, Norman
Mentry, Arthur Charles
Mentry, Charles A.
Mercado Family of Castaic
Mercado-Fortine, Gloria
Merriam, C. Hart
Messina, Bob
Miller, Arthur C.
Miller, Sheila (FOHP)
Miranda, Bill
Mitchell Family of Soledad
Mitchell, Bob (Musician)
Mix, Tom
Montana, Montie
Monteleone, Gary Robert
Montenegro, Gilbert D.
Moore, Albert Lee
Moore, Bob (Speedway)
Moore, Roger
Mootnick, Alan
Morissett, Donald E.
Morris, Charles
Muhl, Edward
Muhl, Suzanne
Mulholland, Christine
Mulholland, William
Mullally, Don
Munz Family of Elizabeth Lake
Murphy, Walter
Myers, Dee Dee
Myers, John William
Myler, Barbara
Nadeau, Remi (Deer Park)
Nadeau, Remi (Freighter)
Nadeau, Remi (Historian)
Nance, Frank A.
Needham, Henry C.
Neely, Hugh Munro
Neiberger, Sue
Newhall, H.M. Family/Descendants
Newhall, Henry Gregory
Newhall, Henry Mayo
Newhall, Joshua O.
Newhall, Ruth Waldo
Newhall, Scott
Newhall, Tony
Newton, Tom
Nichols, John
Nickel, Richard E.
Nielsen, Collyn
Nisich, Tony
Nogales, Frank
North, Edward Guy
O'Brian, Hugh
O'Brien, J.J.
O'Callahan, Fox
O'Hara, Maureen
O'Reilly, James
Oakes, Danny
Oakie, Jack
Obama, Barack
Ohler, Bob & Rose
Olme Family
Olmstead, John E.
Olson, Culbert
Oren, Bill & Vicki
Ortega Jr., Rudy
Ortega, Frank Dennis
Ortiz, Gail
Osby, Daryl L.
Osmer, Harold
Ostrom, Hank & Peggy
Outland, Charles F.
Palance, Jack
Palmer, Edith
Palmer, Paul & Pamela
Pardee, Ed
Parker, Harold
Parker, Lauren
Parson, Sam
Parsons, Johnny
Patterson, Richard A.
Pavini, Rudy
Peacher, Rodney
Pederson, George
Pelino, Arthur E.
Pember, Betty
Pence, James
Perea Family of San Francisquito
Perkins Family
Perkins, Arthur B.
Perkins, Richard
Peters, Craig
Peterson, Stephen Russell
Petras, Rich
Pherigo, Lyn
Phillips, Frances D.
Phillips, George
Phillips, Gladys F.
Phillips, Norm
Phipps, Dave
Pickford, Mary
PIco, Andrés
Pilcher, Jack
Pineau, William Ernest
Pittenger, Chuck
Pollack, Alan
Portolá, Gaspar
Portwig, Emily Brown
Powell, John F.
Powell, Mel
Prado, Janine
Press, Dan
Price, Walt Jr.
Price, Walt Sr.
Priesz, Paul
Prosser, Brian Cody
Prosser, Oren
Pulskamp, Kenneth R.
Putnam, Rick
Putnam, Tricia Lemon
Quarry, Jerry
Quinn, Anthony
Quinones, Arnie
Radtke, Carl Leonard
Raggio Family of San Francisquito
Ralphs Family
Rasmussen Family (Carl)
Rasmussen, Patti
Rasmussen, Peggy
Ray, Don
Ray, Gary
Ray, Russell
Reagan, Ronald
Reardon, John
Redd, Ed
Redmond, James M.
Reeder, David Lee
Reisbig, Larry
Remenih, Tony
Reubens, Paul (Pee Wee Herman)
Reynolds, Bill
Reynolds, Jerry
Rheinschmidt, Chuck
Rice, Bill
Richards, Jarrett T.
Richman, Keith
Riddlebarger, Glenn A.
Rioux, Richard H.
Ripley, Vernette Snyder
Rising, Julia
Ritter, Tex
Rivera, Naya
Rivera, Nick & Family
Robbins, Skeeter Bill
Roberts, John M. & Louise
Robertson, Dale
Robinson, Jim (Speedway)
Robinson, Richard
Robinson, Sarah (1800s)
Robinson, William Wilcox
Rock, Carol & Frank
Rockwell, Robert C.
Rodgers, Jay & Joyce
Rodriguez, Don
Rodriguez, Stanley
Rogers, J. David
Rolfe, Lionel
Rollins, Glen and Loretta
Romero, Alvino
Ross, Thomas Milton Jr.
Ross, William D.
Royce, Roselyn
Rozaire, Charles
Rübel Family of Camulos
Rübel, August A.
Ruiz, Henry & Family
Ruiz, Juan Jr. (Boxer)
Ruiz, Martin (I) of Bouquet Cyn
Ruiz, Martin (II) & Family
Ruiz, Martin (III) of San Francisquito
Runner, George
Russell, Pearle Pardee
Ruttman, Troy
Salazar, Alan
Salazar, José (1800s)
Sandberg, Harald
Saniger, Ray
Sapper, Ken
Sarro, Carmen
Schaefer, Jim
Schiavo, Pilar
Schillaci, Joseph R.
Schmidt, Earl
Schultz, Mary Lina
Scofield, D.G.
Scorza, Philip
Scott, Harrison
Scott, John L.
Scott, Randolph
Scott, Thomas A.
Scott, Walter
SCV Man & Woman of the Year
SCV Sheriff Captains
Sedgwick, Bill
Seitz, Richard
Sellen, Dennis Lee Jr.
Serlin, Lea
Serra, Junípero
Sevanian, Diana
Shapiro, Susan
Shimmin, Irvin A.
Shuman, Mike
Sierad, Stan
Signoretti, Rick
Simpson, Jack
Sims, Cecil H.
Sitzman Cook, Barbara
Sitzman, Charles E.
Slocum, Richard Patrick
Smart, Ozal R.
Smelser, Lee
Smith, Charles C. Jr.
Smith, Christy
Smith, Sam (Blacksmith)
Smith, Will
Smyth, Cameron
Smyth, Clyde
Sohm, Hayden
Solano, Alfred
Solomon, Suzan
Spierer, Robert J.
Sproul, Myron
St. Louis, Bruce W.
Staley, Joan
Stansell, Ann
Stark, Steve
Stears, David Ian
Steele, Bob
Steelman, Dolores
Stephens, Rick
Stevens, Judy Borden
Stevenson, Jeff
Stewart, Lyman
Stewart, Peggy
Stiles, George
Stone, Cliffie
Stone, Mitch
Storli, Linda
Strange, Ron
Strauss, Laurence
Striplin, Ken
Stroh, Eric
Suraco Family of Bouquet Cyn
Suter, Jake William
Swall Family
Swall, Albert
Swall, Jake
Swallow, John
